cath_id,count
1.10.287.160,43
1.10.287.2500,20
3.30.70.1230,17
3.30.50.10,50
1.10.565.10,17
2.60.120.700,10
1.10.287.1140,2
4.10.1240.10,11
6.10.250.2860,4
3.10.20.360,3
1.20.58.390,43
2.60.40.1180,22
1.20.900.10,65
2.10.50.10,19
3.40.50.2000,50
1.10.220.10,60
2.60.40.1470,4
1.25.40.780,1
1.10.1050.10,1
3.40.250.10,24
3.90.190.10,60
1.20.58.900,15
1.10.472.80,18
3.30.500.10,25
1.20.58.1020,2
3.20.20.100,10
1.20.58.200,17
1.10.1240.10,6
1.20.140.100,62
1.10.287.660,77
1.20.970.10,9
1.10.357.100,4
1.10.10.1210,13
2.30.29.150,1
2.40.30.330,1
6.10.250.70,4
2.60.40.1660,3
3.40.1350.110,1
2.60.40.820,14
2.40.30.260,1
1.10.10.1800,1
1.10.4080.10,1
2.30.170.20,2
3.50.50.60,50
1.20.58.1030,7
1.20.190.30,2
1.20.58.1120,28
1.20.1050.40,9
1.20.5.820,3
1.20.58.310,13
1.20.58.970,48
2.60.260.20,12
3.10.10.10,10
3.30.70.270,33
3.30.420.10,42
2.30.30.100,30
1.10.2000.10,21
3.40.33.10,15
3.40.850.10,26
2.60.40.790,28
2.60.120.1260,2
2.60.40.740,5
1.20.1540.10,7
2.60.220.30,33
1.25.40.450,6
1.25.40.300,2
1.20.120.150,1
3.30.160.780,4
1.20.5.250,6
1.20.5.50,31
2.40.100.10,16
3.30.70.100,44
1.10.1200.30,8
1.10.287.940,5
1.10.287.540,7
3.10.450.10,29
1.20.890.10,4
6.10.250.760,1
2.120.10.70,1
1.25.40.1000,9
3.40.47.10,12
3.40.80.10,6
3.30.1390.10,8
2.30.30.50,5
1.20.58.1360,4
1.25.40.70,21
3.30.497.10,27
3.60.40.10,3
1.20.5.1140,1
3.50.7.10,10
1.10.287.3610,39
1.20.5.930,2
1.10.540.10,9
2.40.110.10,14
3.10.110.10,51
1.10.287.10,37
1.10.150.60,9
1.10.287.40,14
3.40.720.10,10
1.20.58.90,109
1.25.40.400,2
3.30.70.580,2
3.30.70.660,1
1.10.287.850,28
6.10.280.50,1
1.20.5.640,39
1.20.58.130,4
2.60.40.420,40
6.10.250.490,2
1.20.58.1240,20
1.25.40.240,36
6.10.140.1350,52
3.30.1010.10,6
3.40.390.10,48
2.110.10.10,24
1.20.140.90,10
2.60.40.3760,4
1.10.287.860,4
1.10.506.10,10
4.10.860.10,1
3.40.50.920,6
2.60.120.1090,4
3.30.70.600,12
1.20.58.120,80
1.20.58.220,60
6.10.140.1740,9
3.40.5.60,1
1.20.190.20,3
3.10.20.530,1
2.20.25.10,4
1.25.40.770,7
1.20.58.1080,3
3.30.56.10,2
3.50.40.10,1
3.30.930.10,8
3.30.1740.10,3
1.20.59.10,5
2.60.120.1540,19
1.20.58.790,12
4.10.10.10,12
1.10.10.990,4
1.10.287.180,4
3.30.450.20,58
1.20.58.1510,9
3.30.1580.10,1
2.40.128.510,2
1.10.10.41,1
1.10.10.1270,9
1.10.1040.10,8
3.40.50.1100,22
1.25.40.210,2
6.10.250.1200,1
2.60.40.340,13
3.30.1370.50,1
3.10.590.10,4
1.20.5.1060,48
2.60.120.730,10
3.50.30.30,20
3.30.63.10,10
1.10.150.80,14
1.10.10.1390,1
3.40.50.980,27
3.90.79.10,25
3.10.200.10,11
3.90.25.10,12
2.60.40.3590,6
3.30.1120.160,2
3.40.50.11210,4
1.10.246.10,23
2.60.40.720,11
1.25.40.700,2
2.20.25.420,1
2.60.120.1040,1
2.60.40.1820,4
1.10.4020.10,42
1.10.12.10,16
3.40.50.1360,2
3.90.1150.190,5
6.10.140.820,11
3.30.70.870,5
3.30.390.110,1
4.10.91.10,2
1.20.930.60,1
1.10.490.160,6
3.40.630.30,45
2.30.280.10,2
1.20.58.240,7
6.10.250.700,19
1.10.3380.10,5
3.30.70.80,1
3.40.50.200,7
3.30.450.50,6
1.20.1440.210,4
3.90.20.20,16
1.10.1170.10,13
3.30.470.10,2
3.20.10.10,2
2.40.10.270,1
2.60.120.1050,2
1.20.1280.20,25
1.10.287.90,3
3.30.70.1620,1
3.30.1240.20,2
2.40.128.200,1
3.40.1620.60,12
2.20.100.10,39
3.15.10.10,8
1.10.490.10,14
1.10.150.20,22
3.40.140.10,12
2.60.40.1940,12
1.10.287.3290,10
1.10.1240.70,2
3.30.160.100,1
2.40.240.20,1
3.90.370.10,1
2.40.50.120,21
6.10.250.1560,18
2.60.20.10,38
2.10.110.10,61
6.10.250.1080,38
6.10.250.2200,6
3.30.760.10,2
6.10.250.1900,1
3.30.390.150,1
3.10.129.10,19
3.30.260.10,4
2.40.10.170,7
1.10.620.20,1
1.20.1110.10,1
2.60.40.2040,2
3.40.525.10,29
1.20.5.1760,24
6.10.140.110,4
2.10.109.10,5
1.20.5.460,36
3.90.215.10,16
4.10.530.10,10
3.20.80.10,2
3.30.60.30,22
3.10.20.10,12
2.60.120.1000,6
2.60.9.10,2
1.20.5.350,13
3.30.1120.10,7
1.25.40.550,6
1.10.1510.30,2
1.25.10.30,27
1.20.190.60,3
1.10.1270.10,2
1.10.10.160,5
1.20.5.3800,1
3.30.9.10,10
1.10.8.870,1
1.10.245.10,4
3.30.70.1170,2
1.20.1270.220,3
1.20.1280.290,20
1.20.140.30,5
1.20.58.1060,12
1.20.58.2070,11
1.20.1270.180,2
1.20.120.50,2
3.80.20.20,35
2.160.20.10,11
1.10.150.110,3
3.30.210.10,3
3.30.300.20,9
6.10.250.300,1
3.30.980.10,3
3.40.50.800,9
1.10.287.610,10
1.10.532.10,7
1.20.1050.20,7
2.60.40.630,6
3.50.4.10,20
3.30.450.60,17
1.10.287.3990,1
3.40.50.11340,3
