cath_id,count
1.20.1580.10,1
2.40.150.20,1
1.10.287.10,3
3.40.50.1470,1
6.10.250.2880,1
1.20.58.300,1
3.30.428.30,1
2.160.20.10,4
3.80.20.20,2
3.30.9.10,11
1.10.1530.10,3
3.30.1370.60,3
3.40.1060.10,2
2.20.50.20,13
3.30.1330.10,5
3.90.650.10,5
3.40.1180.10,1
2.10.109.10,4
2.170.230.10,1
1.10.246.30,2
2.30.130.10,4
3.30.750.80,2
3.30.1390.10,2
1.10.287.3610,7
6.10.250.3250,1
1.20.5.4090,1
1.20.1260.10,6
3.40.605.10,1
3.40.309.10,11
3.40.47.10,15
3.55.40.10,2
3.40.228.10,6
1.10.287.770,10
3.90.226.10,12
3.40.50.1100,19
2.60.440.10,1
1.10.3900.10,1
3.90.1720.10,6
3.40.50.1000,31
1.10.150.240,9
6.10.250.2720,1
3.40.1370.10,1
1.10.287.890,1
1.10.540.10,2
2.40.110.10,4
1.20.140.10,5
4.10.290.10,2
3.30.2350.20,1
1.10.287.70,3
2.20.140.10,2
1.20.1050.10,11
3.30.310.20,1
1.10.340.30,2
1.10.1670.10,2
3.30.1330.20,3
3.30.450.90,2
3.40.1160.10,5
1.20.5.10,2
3.30.450.30,1
3.40.50.1380,3
3.40.140.20,2
3.40.50.510,3
3.40.35.10,2
3.30.450.330,1
3.40.710.10,8
1.20.58.80,3
3.90.1010.10,2
3.90.1150.20,1
1.10.287.1060,11
1.10.860.10,2
2.20.130.10,4
3.40.720.10,5
3.30.1660.10,8
3.40.1170.60,1
3.30.1490.100,1
3.90.245.10,1
1.10.1660.10,7
2.60.120.1440,1
3.30.1360.60,7
1.10.287.660,14
2.40.30.70,1
3.40.50.850,3
3.30.1200.10,1
2.30.30.140,5
2.40.160.40,2
1.10.287.80,8
3.30.70.1020,1
3.40.50.11380,1
2.40.10.230,1
3.30.110.70,3
2.60.120.1340,1
2.60.120.280,6
3.40.50.880,12
1.10.246.10,2
1.10.287.1700,5
1.20.5.700,4
3.30.910.20,1
3.30.920.90,1
4.10.800.30,1
1.10.10.1590,1
3.40.30.60,3
3.30.470.30,1
3.40.50.10190,3
3.40.50.1070,1
3.40.275.10,1
3.20.14.10,1
3.30.300.330,2
3.30.1400.10,1
2.30.30.60,2
1.20.1270.10,5
3.40.50.450,3
3.30.2130.10,2
3.40.50.1390,7
1.10.287.230,11
3.90.950.10,1
3.40.50.970,20
1.20.58.700,1
3.10.310.40,2
3.40.50.460,1
1.10.8.1080,1
3.30.70.660,1
2.60.120.810,1
2.40.128.720,8
3.30.479.10,1
1.20.58.380,4
3.30.1340.10,5
3.50.30.10,5
1.10.274.10,4
3.40.1400.10,3
3.30.310.50,3
3.40.50.10840,1
3.40.50.12280,2
3.30.43.10,7
3.30.420.80,2
3.40.50.10070,2
2.160.20.70,2
2.130.10.120,1
3.40.50.10860,7
3.30.980.20,1
3.90.580.10,1
3.90.980.10,1
2.30.110.10,5
1.10.287.870,2
1.10.1270.20,1
2.40.50.630,1
3.10.20.10,2
3.30.390.120,1
3.60.21.10,3
6.10.250.410,4
1.10.287.130,20
